Fold,Precision,Recall,F1-Score,ROC-AUC,TN,FP,FN,TP
1,0.9680851063829787,0.8921568627450981,0.9285714285714286,0.9763814616755793,85,3,11,91
2,0.9787234042553191,0.9019607843137255,0.9387755102040817,0.981283422459893,86,2,10,92
3,0.9333333333333333,0.9607843137254902,0.9468599033816425,0.9728163992869875,81,7,4,98
4,0.94,0.9215686274509803,0.9306930693069307,0.9780525846702317,82,6,8,94
5,0.9791666666666666,0.9215686274509803,0.9494949494949495,0.9781383817894974,85,2,8,94
6,0.9333333333333333,0.9607843137254902,0.9468599033816425,0.9669821951769213,80,7,4,98
7,0.9117647058823529,0.9117647058823529,0.9117647058823529,0.9669821951769213,78,9,9,93
8,0.9326923076923077,0.9509803921568627,0.941747572815534,0.9798287130944332,80,7,5,97
9,0.8952380952380953,0.9306930693069307,0.912621359223301,0.9609023402340234,77,11,7,94
10,0.95,0.9405940594059405,0.945273631840796,0.9773852385238524,83,5,6,95
